gamma,Re(eigenvalue 1),Re(eigenvalue 2),Im(eigenvalue 1),Im(eigenvalue 2)
0.0,-1.0,-0.0,-0.20305866063400405,0.0
0.0060408163265306125,-1.0000607570237228,-0.005980059302808811,-0.20305858937305196,-7.126095216065987e-08
0.012081632653061225,-1.000122219451689,-0.011959413201372325,-0.2030583723042738,-2.883297302239848e-07
0.018122448979591834,-1.0001843989891126,-0.017938049990479037,-0.2030580043734029,-6.562606011481804e-07
0.02416326530612245,-1.0002473075861638,-0.023915957719959084,-0.20305748035405602,-1.180279948059261e-06
0.030204081632653063,-1.0003109574439402,-0.029893124188712747,-0.20305679484135414,-1.8657926499078282e-06
0.03624489795918367,-1.0003753610206025,-0.03586953693858119,-0.20305594224528287,-2.71838872115423e-06
0.04228571428571429,-1.000440531037659,-0.041845183248055334,-0.2030549167837809,-3.743850223053428e-06
0.0483265306122449,-1.0005064804864259,-0.047820050125818754,-0.2030537124755453,-4.948158458666674e-06
0.054367346938775506,-1.0005732226346549,-0.05379412430412036,-0.20305232313253976,-6.337501464311242e-06
0.060408163265306125,-1.0006407710333334,-0.05976739223197277,-0.20305074235219328,-7.91828181077357e-06
0.06644897959183674,-1.000709139523665,-0.0657398400681717,-0.20304896350927576,-9.697124728256932e-06
0.07248979591836734,-1.0007783422442345,-0.07171145367413236,-0.20304697974743433,-1.1680886569713593e-05
0.07853061224489796,-1.0008483936383599,-0.07768221860653808,-0.20304478397037612,-1.387666362792556e-05
0.08457142857142858,-1.0009193084616317,-0.08365212010979697,-0.20304236883268162,-1.629180132244897e-05
0.09061224489795919,-1.000991101789657,-0.0896211431083019,-0.2030397267302306,-1.8933903773327142e-05
0.0966530612244898,-1.0010637890260004,-0.09558927219848895,-0.20303684979022465,-2.181084377930821e-05
0.1026938775510204,-1.0011373859103299,-0.10155649164069055,-0.20303372986078488,-2.493077321917764e-05
0.10873469387755101,-1.0012119085267743,-0.10752278535077765,-0.20303035850010848,-2.830213389573639e-05
0.11477551020408164,-1.0012873733124943,-0.11348813689158703,-0.20302672696516108,-3.1933668842922196e-05
0.12081632653061225,-1.0013637970664837,-0.11945252946412874,-0.20302282619988643,-3.583443411759239e-05
0.12685714285714286,-1.0014411969585726,-0.12541594589856925,-0.20301864682290535,-4.001381109855697e-05
0.13289795918367348,-1.0015195905386884,-0.13137836864498537,-0.2030141791146875,-4.448151931658089e-05
0.1389387755102041,-1.001598995746319,-0.13733977976388487,-0.2030094130041638,-4.9247629840262246e-05
0.14497959183673467,-1.001679430920246,-0.14330016091648884,-0.20300433805476015,-5.4322579243944374e-05
0.1510204081632653,-1.0017609148084934,-0.14925949335477132,-0.20299894344981878,-5.971718418513678e-05
0.15706122448979593,-1.0018434665785438,-0.15521775791125245,-0.20299321797738373,-6.544265662030807e-05
0.16310204081632654,-1.0019271058277863,-0.1611749349885403,-0.20298715001431464,-7.151061968937272e-05
0.16914285714285715,-1.0020118525942405,-0.16713100454861715,-0.2029807275097034,-7.793312430073496e-05
0.17518367346938774,-1.0020977273675198,-0.17308594610186737,-0.2029739379675536,-8.472266645037048e-05
0.18122448979591838,-1.0021847511000768,-0.1790397386958416,-0.20296676842869393,-9.189220531013472e-05
0.187265306122449,-1.0022729452186934,-0.18499236090375498,-0.20295920545188179,-9.945518212228579e-05
0.1933061224489796,-1.0023623316362638,-0.19094379081271615,-0.202951235094065,-0.0001074255399391017
0.1993469387755102,-1.0024529327638279,-0.19689400601168267,-0.20294284288975564,-0.0001158177442484679
0.2053877551020408,-1.0025447715228992,-0.2028429835791424,-0.2029340138294757,-0.00012464680452841403
0.21142857142857144,-1.0026378713580537,-0.20879070007051725,-0.20292473233722827,-0.00013392829677579595
0.21746938775510202,-1.0027322562498147,-0.21473713150528728,-0.20291498224694737,-0.00014367838705664626
