Epoch Time T, reset_time (N=1000), reset_time (N=5000), reset_time (N=10000), non_reset_time (only first 3 rows)
10,4750,46220,126520,1816.785777869671
10.01,4734.73,46146.1,126296.17,16221.2393912917
10.02,4729.44,46061.94,126071.64,44366.87330978607
10.03,4724.13,45987.55,125846.41,nan
10.04,4718.799999999999,45902.88,125630.52,nan
10.05,4713.45,45827.99999999999,125413.95,nan
10.06,4698.02,45752.88,125196.7,nan
10.07,4692.619999999999,45667.44999999999,124978.77,nan
10.08,4687.199999999999,45591.83999999999,124760.16,nan
10.09,4681.759999999999,45515.98999999999,124540.87,nan
10.1,4676.299999999999,45439.89999999999,124320.9,nan
10.11,4660.709999999999,45363.56999999999,124110.36,nan
10.12,4655.199999999999,45286.99999999999,123889.04,nan
10.13,4649.669999999999,45210.18999999999,123677.17,nan
10.14,4644.119999999999,45133.13999999998,123464.64,nan
10.15,4638.549999999998,45055.84999999998,123251.45,nan
10.16,4632.959999999998,44978.31999999999,123037.6,nan
10.17,4617.179999999998,44900.54999999998,122823.09,nan
10.18,4611.539999999998,44822.53999999999,122607.92,nan
10.19,4605.879999999998,44744.28999999998,122402.28,nan
10.2,4600.199999999998,44675.99999999998,122185.7999999999,nan
10.21,4594.499999999998,44597.27999999998,121978.87,nan
10.22,4588.779999999998,44518.31999999998,121771.2999999999,nan
10.23,4572.809999999998,44449.34999999998,121563.0899999999,nan
10.23999999999999,4567.039999999998,44369.91999999998,121354.2399999999,nan
10.24999999999999,4561.249999999997,44300.49999999998,121144.7499999999,nan
10.25999999999999,4555.439999999998,44220.59999999998,120934.6199999999,nan
10.26999999999999,4549.609999999998,44150.72999999997,120734.1199999999,nan
10.27999999999999,4543.759999999997,44080.63999999998,120522.7199999999,nan
10.28999999999999,4537.889999999998,44000.03999999997,120320.9699999999,nan
10.29999999999999,4531.999999999997,43929.49999999997,120118.5999999999,nan
10.30999999999999,4526.089999999997,43858.73999999997,119915.6099999999,nan
10.31999999999999,4509.839999999997,43777.43999999997,119711.9999999999,nan
10.32999999999999,4503.879999999997,43706.22999999997,119507.7699999999,nan
10.33999999999999,4497.899999999997,43634.79999999997,119302.9199999999,nan
10.34999999999999,4491.899999999997,43563.14999999997,119097.4499999999,nan
10.35999999999999,4485.879999999996,43491.27999999997,118901.7199999999,nan
10.36999999999999,4479.839999999997,43419.18999999997,118695.0199999999,nan
10.37999999999999,4473.779999999996,43346.87999999997,118498.0799999999,nan
10.38999999999999,4467.699999999996,43274.34999999996,118300.5399999999,nan
10.39999999999999,4461.599999999997,43201.59999999996,118102.3999999999,nan
10.40999999999999,4455.479999999996,43128.62999999996,117903.6599999999,nan
10.41999999999999,4449.339999999997,43065.85999999996,117704.3199999999,nan
10.42999999999999,4443.179999999996,42992.45999999996,117504.3799999999,nan
10.43999999999999,4436.999999999996,42918.83999999996,117303.8399999999,nan
10.44999999999999,4430.799999999996,42855.44999999996,117113.1499999999,nan
10.45999999999999,4424.579999999996,42781.39999999996,116911.4199999999,nan
10.46999999999999,4407.869999999995,42707.12999999996,116719.5599999999,nan
10.47999999999999,4401.599999999996,42643.11999999996,116527.1199999999,nan
10.48999999999999,4395.309999999996,42568.41999999995,116334.0999999999,nan
10.49999999999999,4388.999999999995,42503.99999999996,116140.4999999999,nan
10.50999999999999,4382.669999999996,42428.86999999996,115946.3199999999,nan
10.51999999999999,4376.319999999995,42364.03999999996,115751.5599999999,nan
10.52999999999999,4369.949999999995,42288.47999999995,115556.2199999999,nan
10.53999999999999,4363.559999999995,42223.23999999995,115370.8399999999,nan
10.54999999999999,4357.149999999995,42157.79999999995,115174.3499999999,nan
10.55999999999999,4350.719999999995,42092.15999999995,114987.8399999999,nan
10.56999999999999,4344.269999999995,42015.74999999995,114790.1999999999,nan
10.57999999999999,4337.799999999995,41949.69999999995,114602.5599999999,nan
10.58999999999999,4331.309999999995,41883.44999999995,114414.3599999999,nan
10.59999999999999,4324.799999999995,41816.99999999995,114225.5999999999,nan
10.60999999999999,4318.269999999995,41750.34999999995,114036.2799999999,nan
10.61999999999999,4311.719999999995,41683.49999999995,113857.0199999999,nan
10.62999999999999,4305.149999999994,41616.44999999995,113666.5899999999,nan
10.63999999999999,4298.559999999994,41549.19999999995,113475.5999999999,nan
10.64999999999999,4291.949999999994,41481.74999999995,113294.6999999999,nan
10.65999999999999,4285.319999999994,41414.09999999995,113102.5999999998,nan
10.66999999999999,4278.669999999995,41346.24999999994,112920.6099999999,nan
10.67999999999999,4271.999999999995,41278.19999999995,112738.0799999998,nan
10.68999999999999,4265.309999999994,41209.94999999995,112555.0099999998,nan
10.69999999999999,4269.299999999994,41152.19999999995,112371.3999999998,nan
10.70999999999998,4262.579999999994,41083.55999999994,112187.2499999998,nan
10.71999999999998,4255.839999999994,41014.71999999994,112002.5599999998,nan
10.72999999999998,4249.079999999994,40956.40999999994,111817.3299999998,nan
10.73999999999998,4242.299999999994,40887.17999999994,111642.2999999998,nan
10.74999999999998,4235.499999999994,40817.74999999994,111455.9999999998,nan
10.75999999999998,4228.679999999994,40758.87999999994,111279.9199999998,nan
10.76999999999998,4221.839999999994,40689.05999999994,111092.5499999998,nan
10.77999999999998,4214.979999999993,40629.81999999993,110915.4199999998,nan
10.78999999999998,4208.099999999993,40559.60999999994,110737.7699999998,nan
10.79999999999998,4201.199999999993,40499.99999999993,110559.5999999998,nan
10.80999999999998,4194.279999999993,40429.39999999994,110380.9099999998,nan
10.81999999999998,4187.339999999993,40369.41999999993,110201.6999999998,nan
